country,Carbon dioxide emission
China,"10,432,751,400"
United States,"5,011,686,600"
India,"2,533,638,100"
Russia,"1,661,899,300"
Japan,"1,239,592,060"
Germany,"775,752,190"
Canada,"675,918,610"
Iran,"642,560,030"
South Korea,"604,043,830"
Indonesia,"530,035,650"
Saudi Arabia,"517,079,407"
Brazil,"462,994,920"
Mexico,"441,412,750"
Australia,"414,988,700"
South Africa,"390,557,850"
Turkey,"368,122,740"
United Kingdom,"367,860,350"
Italy,"358,139,550"
France,"331,533,320"
Poland,"296,659,670"
Taiwan,"276,724,868"
Thailand,"271,040,160"
Malaysia,"266,251,542"
Spain,"251,892,320"
Ukraine,"233,220,080"
Kazakhstan,"231,919,540"
Egypt,"219,377,350"
United Arab Emirates,"218,788,684"
Vietnam,"206,042,140"
Argentina,"200,708,270"
Pakistan,"178,013,820"
Venezuela,"175,884,256"
Netherlands,"163,419,285"
Iraq,"162,646,160"
Algeria,"156,220,560"
Philippines,"126,922,662"
Czech Republic (Czechia),"111,825,428"
Uzbekistan,"109,347,340"
Kuwait,"101,492,225"
Qatar,"98,990,085"
Belgium,"94,722,813"
Oman,"87,835,773"
Nigeria,"82,634,214"
Chile,"81,258,525"
Turkmenistan,"79,279,216"
Romania,"78,770,824"
Colombia,"77,667,594"
Bangladesh,"74,476,230"
Austria,"73,764,112"
Greece,"67,840,662"
Israel,"65,201,588"
Belarus,"62,655,669"
North Korea,"58,708,734"
Morocco,"57,694,464"
Peru,"57,692,879"
Libya,"52,696,075"
Finland,"51,183,960"
Hungary,"51,018,899"
Bulgaria,"50,872,910"
Portugal,"50,142,844"
Singapore,"48,381,759"
Hong Kong,"47,066,386"
Sweden,"44,694,415"
Norway,"43,456,012"
Serbia,"41,168,059"
Ecuador,"40,065,690"
Switzerland,"39,666,930"
Ireland,"39,086,565"
Syria,"38,054,696"
Denmark,"38,007,645"
Slovakia,"36,817,242"
Trinidad and Tobago,"34,974,263"
Azerbaijan,"33,614,235"
New Zealand,"33,276,202"
Angola,"30,566,933"
Cuba,"30,389,116"
Tunisia,"29,395,965"
Bosnia and Herzegovina,"25,674,120"
Yemen,"25,647,990"
Bahrain,"24,458,384"
Dominican Republic,"23,466,740"
Jordan,"22,772,370"
Estonia,"22,402,414"
Lebanon,"21,863,288"
Bolivia,"19,463,728"
Croatia,"19,408,194"
Mongolia,"18,574,260"
Guatemala,"18,539,316"
Sri Lanka,"18,454,691"
Myanmar,"16,701,776"
Kenya,"16,334,919"
Montenegro,"16,249,039"
Slovenia,"14,722,601"
Ghana,"14,469,986"
Lithuania,"13,685,264"
Sudan,"13,294,106"
Panama,"11,599,764"
Ethiopia,"10,438,855"
Luxembourg,"10,144,632"
Zimbabwe,"10,062,628"
Côte d'Ivoire,"10,056,492"
Afghanistan,"9,900,004"
Tanzania,"9,731,560"
Cameroon,"9,454,331"
Honduras,"9,320,279"
Papua New Guinea,"9,086,988"
Jamaica,"8,946,575"
North Macedonia,"8,896,732"
Georgia,"8,610,414"
Costa Rica,"8,328,890"
Moldova,"8,258,774"
Senegal,"8,247,295"
Latvia,"8,157,157"
Nepal,"7,833,787"
Brunei,"7,672,127"
Kyrgyzstan,"6,941,784"
Cyprus,"6,872,427"
El Salvador,"6,853,766"
DR Congo,"6,564,773"
Benin,"6,563,709"
Uruguay,"6,508,013"
Cambodia,"6,496,958"
Botswana,"6,438,429"
Tajikistan,"6,049,757"
Paraguay,"5,998,469"
Mozambique,"5,859,171"
Gabon,"5,694,208"
Nicaragua,"5,325,447"
Congo,"5,212,302"
Albania,"5,208,319"
Uganda,"5,009,493"
Armenia,"4,597,845"
Laos,"4,531,276"
Bahamas,"4,404,247"
Zambia,"4,230,584"
South Sudan,"4,038,496"
Iceland,"3,923,884"
Namibia,"3,901,830"
Guyana,"3,253,057"
Mauritius,"3,192,307"
Macao,"3,106,518"
Haiti,"3,086,897"
Madagascar,"3,026,047"
Martinique,"2,715,477"
Mauritania,"2,564,345"
Guadeloupe,"2,478,038"
Burkina Faso,"2,352,070"
New Caledonia,"2,338,717"
Togo,"2,321,546"
Malta,"2,257,870"
Equatorial Guinea,"2,156,371"
Suriname,"2,152,933"
Niger,"2,088,475"
Guinea,"2,071,798"
Malawi,"1,815,598"
Fiji,"1,703,193"
Bhutan,"1,682,100"
Chad,"1,670,941"
Mali,"1,606,421"
Barbados,"1,541,447"
Djibouti,"1,508,851"
French Guiana,"1,473,719"
Rwanda,"1,403,087"
Sierra Leone,"1,272,332"
Somalia,"1,268,442"
Maldives,"1,233,015"
Réunion,"1,132,331"
Belize,"1,114,105"
Burundi,"1,093,618"
French Polynesia,"1,003,249"
Liberia,"846,658"
Puerto Rico,"712,758"
Eritrea,"684,140"
Eswatini,"657,572"
Bermuda,"639,352"
Saint Lucia,"608,182"
Gibraltar,"572,708"
Grenada,"554,848"
Central African Republic,"543,229"
Seychelles,"519,693"
Timor-Leste,"495,687"
Antigua and Barbuda,"438,763"
Cayman Islands,"406,057"
St. Vincent & Grenadines,"362,414"
Solomon Islands,"341,748"
Guinea-Bissau,"318,706"
Lesotho,"318,438"
Aruba,"286,871"
Gambia,"254,127"
Tonga,"251,375"
Western Sahara,"207,592"
Saint Kitts & Nevis,"203,036"
Dominica,"185,767"
Samoa,"169,939"
Vanuatu,"137,706"
Comoros,"108,422"
British Virgin Islands,"99,762"
Cabo Verde,"99,687"
Turks and Caicos,"65,451"
Sao Tome & Principe,"56,185"
Kiribati,"52,818"
Falkland Islands,"48,568"
Palau,"41,732"
Cook Islands,"37,354"
Anguilla,"30,262"
Saint Helena,"13,128"
Saint Pierre & Miquelon,"8,842"
Faeroe Islands,"1,953"
Greenland,"1,530"