,,,,,,
,1,Iceland,86.87%,,,
,2,Norway,71.56%,,,
,3,Sweden,50.92%,,,
,4,Brazil,46.22%,,,
,5,New Zealand,40.22%,,,
,6,Denmark,39.25%,,,
,7,Austria,37.48%,,,
,8,Switzerland,36.72%,,,
,9,Finland,34.61%,,,
,10,Colombia,33.02%,,,
,11,Portugal,32.7%,,,
,12,Ecuador,32.35%,,,
,13,Canada,29.89%,,,
,14,Venezuela,28.43%,,,
,15,Croatia,28.27%,,,
,16,Peru,27.74%,,,
,17,Chile,26.52%,,,
,18,Latvia,23.92%,,,
,19,Vietnam,22.73%,,,
,20,Spain,22.34%,,,
,21,Sri Lanka,21.4%,,,
,22,Germany,19.45%,,,
,23,Greece,19.39%,,,
,24,Slovenia,18.77%,,,
,25,Italy,18.36%,,,
,26,United Kingdom,17.95%,,,
,27,Ireland,17.58%,,,
,28,Romania,17.48%,,,
,29,Turkey,16.52%,,,
,30,People's Republic of China,14.95%,,,
,31,Republic of Macedonia,14.82%,,,
,32,Estonia,14.33%,,,
,33,France,13.67%,,,
,34,Australia,12.93%,,,
,35,Netherlands,12.37%,,,
,36,Bulgaria,11.49%,,,
,37,Japan,11.43%,,,
,38,Argentina,11.33%,,,
,39,Philippines,10.9%,,,
,40,United States of America,10.66%,,,
,41,Pakistan,10.62%,,,
,42,Mexico,10.51%,,,
,43,Indonesia,10.39%,,,
,44,Slovakia,9.82%,,,
,45,Lithuania,9.49%,,,
,46,Belgium,9.34%,,,
,47,India,9.31%,,,
,48,Malaysia,8.06%,,,
,49,Poland,7.76%,,,
,50,Morocco,7.64%,,,
,51,Thailand,7.11%,,,
,52,Luxembourg,7.1%,,,
,53,Hungary,6.82%,,,
,54,Russia,6.62%,,,
,55,Czech Republic,6.5%,,,
,56,Egypt,6.23%,,,
,57,Ukraine,6.1%,,,
,58,Israel,5.13%,,,
,59,Kazakhstan,3.99%,,,
,60,South Korea,3.72%,,,
,61,South Africa,3.41%,,,
,62,Taiwan,3.04%,,,
,63,Uzbekistan,2.65%,,,
,64,Azerbaijan,2.2%,,,
,65,Iraq,1.5%,,,
,66,Iran,1.29%,,,
,67,Belarus,0.97%,,,
,68,Bangladesh,0.65%,,,
,69,Algeria,0.26%,,,
,70,Hong Kong,0.11%,,,
,71,Trinidad and Tobago,0.01%,,,
,72,Turkmenistan,0.01%,,,