country,Percentage of renewable energy,,,
Iceland,86.87%,,,
Norway,71.56%,,,
Sweden,50.92%,,,
Brazil,46.22%,,,
New Zealand,40.22%,,,
Denmark,39.25%,,,
Austria,37.48%,,,
Switzerland,36.72%,,,
Finland,34.61%,,,
Colombia,33.02%,,,
Portugal,32.7%,,,
Ecuador,32.35%,,,
Canada,29.89%,,,
Venezuela,28.43%,,,
Croatia,28.27%,,,
Peru,27.74%,,,
Chile,26.52%,,,
Latvia,23.92%,,,
Vietnam,22.73%,,,
Spain,22.34%,,,
Sri Lanka,21.4%,,,
Germany,19.45%,,,
Greece,19.39%,,,
Slovenia,18.77%,,,
Italy,18.36%,,,
United Kingdom,17.95%,,,
Ireland,17.58%,,,
Romania,17.48%,,,
Turkey,16.52%,,,
People's Republic of China,14.95%,,,
Republic of Macedonia,14.82%,,,
Estonia,14.33%,,,
France,13.67%,,,
Australia,12.93%,,,
Netherlands,12.37%,,,
Bulgaria,11.49%,,,
Japan,11.43%,,,
Argentina,11.33%,,,
Philippines,10.9%,,,
United States of America,10.66%,,,
Pakistan,10.62%,,,
Mexico,10.51%,,,
Indonesia,10.39%,,,
Slovakia,9.82%,,,
Lithuania,9.49%,,,
Belgium,9.34%,,,
India,9.31%,,,
Malaysia,8.06%,,,
Poland,7.76%,,,
Morocco,7.64%,,,
Thailand,7.11%,,,
Luxembourg,7.1%,,,
Hungary,6.82%,,,
Russia,6.62%,,,
Czech Republic,6.5%,,,
Egypt,6.23%,,,
Ukraine,6.1%,,,
Israel,5.13%,,,
Kazakhstan,3.99%,,,
South Korea,3.72%,,,
South Africa,3.41%,,,
Taiwan,3.04%,,,
Uzbekistan,2.65%,,,
Azerbaijan,2.2%,,,
Iraq,1.5%,,,
Iran,1.29%,,,
Belarus,0.97%,,,
Bangladesh,0.65%,,,
Algeria,0.26%,,,
Hong Kong,0.11%,,,
Trinidad and Tobago,0.01%,,,
Turkmenistan,0.01%,,,